"full_text","clean_text"
"user_id_str","useridstr"
"1.74799175805801E+018","e"
"1.7450180845143E+018","e"
"1.3458982594458E+018","e"
"1.01597524842701E+018","e"
"1.7352171423024E+018","e"
"1.60736352142323E+018","e"
"1.4472248255718E+018","e"
"1.34304702306748E+018","e"
"7.89317845616177E+017","e"
"136842285",""
"8.62622815899364E+017","e"
"1.21970499827721E+018","e"
"125902914",""
"1.04732379466941E+018","e"
"72030140",""
"60555706",""
"1.51772732584847E+018","e"
"1.69095621487906E+018","e"
"1.68730240368156E+018","e"
"1.69165480471888E+018","e"
"9.49537093818114E+017","e"
"4780649298",""
"1.37617292767921E+018","e"
"24893875",""
"24893875",""
"1.45250810150501E+018","e"
"966083473",""
"379195412",""
"2895936020",""
"606000080",""
"1.6996428530085E+018","e"
"1.7101483657686E+018","e"
"1.54503309114383E+018","e"
"1.70868798597228E+018","e"
"1.70904342188386E+018","e"
"1.71012765188377E+018","e"
"1.58810807012241E+018","e"
"1.69891104578666E+018","e"
"1.80780020529699E+018","e"
"1.70977682858665E+018","e"
"1.71169237665651E+018","e"
"1.71122575700199E+018","e"
"1.7086858312576E+018","e"
"1.16913298609428E+018","e"
"1.70979067990234E+018","e"
"1.51338079052433E+018","e"
"1.71194291055036E+018","e"
"1.71122059969005E+018","e"
"1.71121778626837E+018","e"
"1.7014407749767E+018","e"
"1.47092776273919E+018","e"
"1.13331190697695E+018","e"
"1.51195208343999E+018","e"
"43258431",""
"1.71015422712816E+018","e"
"1.18903913883554E+018","e"
"1.6992991142936E+018","e"
"1.69928770640749E+018","e"
"1.85272908553098E+018","e"
"215894901",""
"81058880",""
"102437634",""
"1.7087295274957E+018","e"
"1.11159556523245E+018","e"
"63657462",""
"1.70943229979906E+018","e"
"18233723",""
"1.18903913883554E+018","e"
"1.18903913883554E+018","e"
"1.7011148404364E+018","e"
"18129942",""
"110411391",""
"1.67652156665248E+018","e"
"1067282005",""
"1.70144662063275E+018","e"
"1.7115723718896E+018","e"
"1.70143986422138E+018","e"
"1.69897955379925E+018","e"
"56621625",""
"1510098296",""
"1.71121664709951E+018","e"
"397673651",""
"1.69963957486217E+018","e"
"1.4472248255718E+018","e"
"1.25978582275829E+018","e"
"7.97735565223283E+017","e"
"966143130",""
"1.69380721536965E+018","e"
"1.60368165213937E+018","e"
"2948880344",""
"966143130",""
"1.58817903648824E+018","e"
"1.49465281189566E+018","e"
"1.49465281189566E+018","e"
"1.27750321463232E+018","e"
"2408951832",""
"2948880344",""
"583006638",""
"1.69897074397828E+018","e"
"1.83341694617354E+018","e"
"1.70113170872745E+018","e"
"1.73630844256926E+018","e"
"1.60048660779418E+018","e"
"1.59392674426783E+018","e"
"1156665787",""
"1.41401463050707E+018","e"
"1.07831373797351E+018","e"
"1.15968917334058E+018","e"
"8.5664528905415E+017","e"
"1.50302885208773E+018","e"
"57574639",""
"7.18082449868128E+017","e"
"1.818487172473E+018","e"
"1.51596446703242E+018","e"
"1.65343167548399E+018","e"
"9.49525285828833E+017","e"
"1.64473303501389E+018","e"
"1.82622212467312E+018","e"
"1557591756",""
"1.41401463050707E+018","e"
"1.18477399743665E+018","e"
"1.34281423154089E+018","e"
"1.34281423154089E+018","e"
"2478567085",""
"1.56947824677292E+018","e"
"1.84727174593978E+018","e"
"1.34281423154089E+018","e"
"189455584",""
"1048127522",""
"1.34529109929685E+018","e"
"61120181",""
"1.32312837409348E+018","e"
"1055612952",""
"7.73690742669794E+017","e"
"482798961",""
"280298505",""
"1.52441306380568E+018","e"
"2847012252",""
"574453228",""
"1.81707404051706E+018","e"
"1.81707404051706E+018","e"
"1.81707404051706E+018","e"
"1.81707404051706E+018","e"
"1.81707404051706E+018","e"
"1.81707404051706E+018","e"
"1311753840",""
"70909672",""
"469720509",""
"740782668",""
"1.60356827498521E+018","e"
"2799169610",""
"1.21404381719352E+018","e"
"1.33396013445262E+018","e"
"189673937",""
"1.55016311835734E+018","e"
"7.18082449868128E+017","e"
"189673937",""
"2338404451",""
"1.88505666820946E+018","e"
"1.24966213391618E+018","e"
"1.87908171962795E+018","e"
"1.59908548886584E+018","e"
"260575817",""
"1.76559733498416E+018","e"
"1.36092270305036E+018","e"
"1.4982184510094E+018","e"
"1.66526942466293E+018","e"
"187641074",""
"119116873",""
"1.0170662912181E+018","e"
"1.4562836863121E+018","e"
"1.5872657211467E+018","e"
"3117127524",""
"1.41880853693566E+018","e"
"1610030660",""
"1.60390602092474E+018","e"
"1.88485859648959E+018","e"
"1.84426657413356E+018","e"
"1.3775699639264E+018","e"
"1.3837507275756E+018","e"
"1.41401463050707E+018","e"
"1.41401463050707E+018","e"
"198417114",""
"1.70437165769001E+018","e"
"1.70437165769001E+018","e"
"1.75149801141766E+018","e"
"1.75149801141766E+018","e"
"1.8347531654825E+018","e"
"1.62202534767506E+018","e"
"122030562",""
"1.69534451688114E+018","e"
"1.87943972777614E+018","e"
"791693863",""
"84004006",""
"2862109627",""
"807941894",""
"7.19084961039421E+017","e"
"1.57328009700338E+018","e"
"566014930",""
"1.74969896553954E+018","e"
"75395185",""
"260743726",""
"8.28732209313959E+017","e"
"1.28227779995739E+018","e"
"1.59121767956143E+018","e"
"1.68888459979409E+018","e"
"1.59568050313423E+018","e"
"8.54167274218962E+017","e"
"4564565058",""
"122318953",""
"1.23961133907029E+018","e"
"15860995",""
"9.282049635236E+017","e"
"1.66065494824422E+018","e"
"1.48482571952418E+018","e"
"1.60406965687184E+018","e"
"1.2216639964591E+018","e"
"75447670",""
"1.14637386434509E+018","e"
"851295895",""
"1.73628131380685E+018","e"
"1.3910770201052E+018","e"
"24893875",""
"1.32844035357419E+018","e"
"586419257",""
"1.880274564024E+018","e"
"1.61421815357548E+018","e"
"1.69135671521488E+018","e"
"1.68902845687987E+018","e"
"1.68190415149898E+018","e"
"1.69173432743089E+018","e"
"1.8189342394776E+018","e"
"1.7026419901886E+018","e"
"1.70146515042605E+018","e"
"1.68411294399742E+018","e"
"1.7021745105424E+018","e"
"1.7200146036384E+018","e"
"1.69132932261397E+018","e"
"1.83236248291424E+018","e"
"1.68441005358202E+018","e"
"1.69967227039722E+018","e"
"1.68373729774389E+018","e"
"1.69748705808711E+018","e"
"1.70940681880252E+018","e"
"1.84176034622021E+018","e"
"1.70150106967387E+018","e"
"1.84313521885071E+018","e"
"1.69891021523488E+018","e"
"1.69672972929725E+018","e"
"1.70182762391846E+018","e"
"1.70144515837255E+018","e"
"1.69924704377101E+018","e"
"1.69496899769827E+018","e"
"1.3910770201052E+018","e"
"1.73419961332499E+018","e"
"1.70007795748901E+018","e"
"1.70908380535998E+018","e"
"1.61062643472443E+018","e"
"1.7011177516734E+018","e"
"1.690953045944E+018","e"
"1.70009385734893E+018","e"
"1.68223686045691E+018","e"
"2354022096",""
"1.6840946136306E+018","e"
"1.69133692344361E+018","e"
"1.69352732507652E+018","e"
"1.69858520217885E+018","e"
"1.69754062184896E+018","e"
"1.69673027707747E+018","e"
"1.69906285541553E+018","e"
"1.70257094410626E+018","e"
"1.70111712914221E+018","e"
"1.11799024980672E+018","e"
"1623010292",""
"1.24742971119139E+018","e"
"1.62643534058736E+018","e"
"1.57116139817204E+018","e"
"1.88098540215436E+018","e"
"2887413990",""
"160875484",""
"456426648",""
"4295414300",""
"1.87616984672096E+018","e"
"1.68449966562938E+018","e"
"1695419448",""
"1.46553335168349E+018","e"
"1.84284546841991E+018","e"
"1.46553335168349E+018","e"
"1.46553335168349E+018","e"
"1.80106497033733E+018","e"
"1.68737717760258E+018","e"
"1.70258490271221E+018","e"
"1.3910770201052E+018","e"
"1.78417243870166E+018","e"
"1.46553335168349E+018","e"
"354168059",""
"1.25403635384035E+018","e"
"1.52712882590122E+018","e"
"1.54290163306289E+018","e"
"131806243",""
"57261519",""
"45049631",""
"61728941",""
"1.79420571807949E+018","e"
"78188662",""
"1.44380835349535E+018","e"
"1.59273427192336E+018","e"
